Inference for Bugs model at "scripts/multivariate/analyze-protea.jags", fit using jags,
 5 chains, each with 60000 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
theta[6,6]   0.057   0.388  -0.866  -0.104   0.071   0.274   0.760 1.008   440
theta[1,7]  -0.091   0.293  -0.593  -0.248  -0.144   0.086   0.443 1.009   580
theta[2,7]   0.036   0.248  -0.411  -0.128   0.007   0.211   0.505 1.007   510
theta[3,7]  -0.067   0.240  -0.506  -0.220  -0.129   0.130   0.363 1.026   140
theta[4,7]  -0.132   0.171  -0.335  -0.231  -0.167  -0.107   0.244 1.008   470
theta[5,7]   0.057   0.346  -0.761  -0.028   0.057   0.188   0.775 1.003  2200
theta[6,7]   0.049   0.369  -0.788  -0.103   0.066   0.248   0.766 1.008   710
theta[1,8]   0.049   0.309  -0.578  -0.153   0.056   0.241   0.631 1.007   440
theta[2,8]  -0.002   0.260  -0.418  -0.145  -0.067   0.188   0.501 1.013   230
theta[3,8]   0.071   0.197  -0.370   0.035   0.125   0.172   0.336 1.012   350
theta[4,8]   0.148   0.108  -0.216   0.116   0.162   0.205   0.285 1.025   430
theta[5,8]   0.061   0.349  -0.785  -0.028   0.060   0.201   0.789 1.006   730
theta[6,8]   0.018   0.386  -0.857  -0.148   0.033   0.214   0.814 1.001  5000
theta[1,9]   0.120   0.275  -0.501  -0.117   0.195   0.313   0.503 1.011   390
theta[2,9]  -0.058   0.253  -0.494  -0.197  -0.097   0.123   0.390 1.019   200
theta[3,9]  -0.254   0.170  -0.575  -0.338  -0.245  -0.176   0.162 1.069    59
theta[4,9]  -0.133   0.187  -0.362  -0.248  -0.179  -0.104   0.268 1.073    60
theta[5,9]   0.091   0.327  -0.675   0.010   0.080   0.239   0.735 1.007   950
theta[6,9]   0.045   0.371  -0.802  -0.117   0.062   0.252   0.781 1.005   630
xi[1]        0.039   0.379  -0.823  -0.144   0.069   0.219   0.854 1.006  4000
xi[2]        0.018   0.415  -0.887  -0.182   0.040   0.228   0.892 1.008   960
xi[3]        0.009   0.454  -0.953  -0.236   0.007   0.266   0.931 1.003  2400
xi[4]       -0.003   0.469  -0.970  -0.263  -0.011   0.260   0.952 1.001  3100
